image,caption_number,caption,id
1797507760_384744fb34.jpg,0,Four shirtless men are hiking up a canyon .,15
1797507760_384744fb34.jpg,1,Four shirtless men hike up a canyon .,15
1797507760_384744fb34.jpg,2,Shirtless men hike through a canyon .,15
3271495320_bca47795fb.jpg,3,Girls in bikinis playing volleyball on the beach .,16
3271495320_bca47795fb.jpg,0,A group of women wearing bikinis are playing beach volleyball .,16
3271495320_bca47795fb.jpg,2,Four young women wearing bikinis are playing beach volleyball,16
3271495320_bca47795fb.jpg,4,Women in bikinis play beach volleyball by the waterside .,16
3271495320_bca47795fb.jpg,1,Four women competing in beach volleyball beside a large body of water .,16
2938072630_d641b63e4d.jpg,0,An elderly man sitting on a bench .,17
2938072630_d641b63e4d.jpg,4,Older woman setting on a bench with people walking past her she is wearing a gray jacket and black pants .,17
2938072630_d641b63e4d.jpg,3,Older asian woman sitting down while two people walk by her .,17
2938072630_d641b63e4d.jpg,2,"An old woman sitting on a bench , with people around .",17
2938072630_d641b63e4d.jpg,1,An old asian woman is sitting in front of a subway train and passengers are walking by her .,17
1298295313_db1f4c6522.jpg,1,A boy diving backward off a pier in a large lake .,18
1298295313_db1f4c6522.jpg,4,A boy is holding his nose and jumping off a diving board backwards into a lake .,18
1298295313_db1f4c6522.jpg,0,A blonde boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .,18
1298295313_db1f4c6522.jpg,2,A boy in a blue life jacket jumps into the water .,18
1298295313_db1f4c6522.jpg,3,A boy in a blue life jacket jumps off a board into the lake .,18
1287073593_f3d2a62455.jpg,1,Dogsled rider pulled past flags on snowy hill .,19
1287073593_f3d2a62455.jpg,3,"Five sled dogs are pulling a person on a sled , through the snow .",19
1287073593_f3d2a62455.jpg,4,The man is mushing his dogs on a snow trail,19
1287073593_f3d2a62455.jpg,2,Dogs pulling a sled in a sled race .,19
1287073593_f3d2a62455.jpg,0,A group of dogs pull a person on a dog sled up a hill .,19
1876536922_8fdf8d7028.jpg,1,Two dogs carry a toy out of the ocean .,20
1876536922_8fdf8d7028.jpg,3,Two dogs carry one object while wading in the ocean .,20
1876536922_8fdf8d7028.jpg,2,Two dogs carrying a red toy in their mouths and running in water .,20
1876536922_8fdf8d7028.jpg,0,Two dogs are running through water carrying a rope and red float in their mouths .,20
1876536922_8fdf8d7028.jpg,4,Two dogs run through the water and both hold the same toy in their mouths .,20
241347150_5ff37818c2.jpg,4,The receiver is tackled after making the catch .,21
241347150_5ff37818c2.jpg,1,A football player in white is being tackled by a Oklahoma University player .,21
241347150_5ff37818c2.jpg,3,A Sooners football player is tackling an opposing player .,21
241347150_5ff37818c2.jpg,2,"An American footballer in a red outfit is attacking the player in white who is running with the ball , whilst other players are nearby .",21
241347150_5ff37818c2.jpg,0,A football player in a purple uniform holds the ball while a player in red tries to tackle him .,21
2444821454_22a346c996.jpg,0,A black and white dog is in the grass with a red striped disk .,22
2444821454_22a346c996.jpg,1,a black and white dog jumping in the grass after a Frisbee .,22
2444821454_22a346c996.jpg,4,A dog jumping for a Frisbee in a field .,22
2444821454_22a346c996.jpg,2,A black and white dog jumps in the air near a red Frisbee .,22
2444821454_22a346c996.jpg,3,A dog is on his hind legs and a Frisbee is near the ground .,22
3126752627_dc2d6674da.jpg,3,Two men are playing Basketball,23
3126752627_dc2d6674da.jpg,4,two men jump for the basketball .,23
3126752627_dc2d6674da.jpg,1,A basketball player tries to block another .,23
3126752627_dc2d6674da.jpg,2,Two basketball players reaching for a ball .,23
3126752627_dc2d6674da.jpg,0,A basketball player shooting while another player is trying to block his shot .,23
3293751136_b0ce285dc3.jpg,4,Two people in coats kiss on the side of a road .,24
3293751136_b0ce285dc3.jpg,3,Teen girl in a parka kissing teen boy in a brown jacket on a snowy street,24
3293751136_b0ce285dc3.jpg,2,a man in a tan jacket is kissing a girl in a pink jacket on a city street as a yellow taxi passes by .,24
3293751136_b0ce285dc3.jpg,0,A couple is sharing a kiss on a cold sunny day .,24
3293751136_b0ce285dc3.jpg,1,A couple kissing on a sidewalk in a city during winter .,24
1255504166_f2437febcb.jpg,4,A young boy plays in the water with the mountains in the background .,25
1255504166_f2437febcb.jpg,1,A child is splashing in the water,25
1255504166_f2437febcb.jpg,3,A small child in water with a splash encircling him while the white clouds float over the mountains .,25
1255504166_f2437febcb.jpg,0,A boy playing in a lake,25
1255504166_f2437febcb.jpg,2,A little boy is playing in the water with a beautiful sunset and mountains in the background .,25
3225226381_9fe306fb9e.jpg,3,One brown and one black dog in grass .,26
3225226381_9fe306fb9e.jpg,2,A small white and black dog chasing a slightly larger brown dog in a grassy area .,26
3225226381_9fe306fb9e.jpg,1,A little black dog chasing a little brown one .,26
3225226381_9fe306fb9e.jpg,4,"Two dogs running , one brown and one grey",26
3225226381_9fe306fb9e.jpg,0,a black dog with a pink collar is following behind a brown dog with across a grassy field .,26
236144859_52f9e38885.jpg,2,A dog nurses her puppies .,27
236144859_52f9e38885.jpg,0,A black dog nurses white puppies .,27
236144859_52f9e38885.jpg,4,Black dog with white puppies laying on the floor .,27
236144859_52f9e38885.jpg,1,A black dog nursing black and white puppies .,27
236144859_52f9e38885.jpg,3,Black dog with white puppies .,27
3482062809_3b694322c4.jpg,3,A woman with a backpack leans again a statue while a group of boys sit on a bench talking .,28
3482062809_3b694322c4.jpg,1,A woman is making a statue pretend to kiss her hand beside four boys at a bench .,28
3482062809_3b694322c4.jpg,0,A group of tourists stand around as a lady puts her hand near the mouth of a statue .,28
3482062809_3b694322c4.jpg,2,A woman posing with a statue alongside a group of boys,28
3482062809_3b694322c4.jpg,4,Woman gets her hand kissed by living statue street artist .,28
3372215826_b3e6403b2e.jpg,3,A man with long sleeves is firing a flare pistol at night .,29
3372215826_b3e6403b2e.jpg,4,A stop motion picture of a man firing a handgun in a dark area .,29
3372215826_b3e6403b2e.jpg,1,a man shoots a gun .,29
3372215826_b3e6403b2e.jpg,0,A man in a dark hat shoots a handgun .,29
3372215826_b3e6403b2e.jpg,2,A man shoots a gun that emits a bright light .,29
3457784061_8f77f43a9c.jpg,3,a young man about to throw a red bowling ball down the lane,30
3457784061_8f77f43a9c.jpg,0,A man bowls with a red ball .,30
3457784061_8f77f43a9c.jpg,4,Man bowling in a dimly lit bowling alley .,30
3457784061_8f77f43a9c.jpg,2,A man is getting ready to throw a bowling ball in a bowling alley .,30
3457784061_8f77f43a9c.jpg,1,A man bowls with a red bowling ball .,30
3201594926_cd2009eb13.jpg,1,A hip young woman down the street with a woman in a kimono walks behind her .,31
3201594926_cd2009eb13.jpg,2,A woman in boots with a big purse walks down the street followed by a woman in blue .,31
3201594926_cd2009eb13.jpg,4,Women walk down the street .,31
3201594926_cd2009eb13.jpg,3,a woman walks with her big purse .,31
3201594926_cd2009eb13.jpg,0,A girl wearing white polka dots and black boots walks and a woman in a blue outfit hurridly walks behind her .,31
2934000107_d2ff15c814.jpg,0,"A black dog is jumping through some water , while holding a stick in his mouth .",32
2934000107_d2ff15c814.jpg,3,A dog swims in the ocean .,32
2934000107_d2ff15c814.jpg,1,A black dog is swimming through water .,32
2934000107_d2ff15c814.jpg,4,Black dog jumping out of the water with a stick in his mouth .,32
2934000107_d2ff15c814.jpg,2,A black dog jumps in a body of water with a stick in his mouth .,32
241347635_e691395c2f.jpg,4,The man with the white pants and blue Nike shirt has a whistle around his neck .,33
241347635_e691395c2f.jpg,1,A man is walking along a field .,33
241347635_e691395c2f.jpg,2,A man walks down a field with a crowd in the stands behind him .,33
241347635_e691395c2f.jpg,3,The head coach is walking out on the field .,33
241347635_e691395c2f.jpg,0,"A man in sunglasses , blue shirt and beige pants walks across an athletic field .",33
300765528_8c8f709dda.jpg,1,A group of men and women are in wedding attire .,34
300765528_8c8f709dda.jpg,4,several brides wearing white dresses are holding red roses,34
300765528_8c8f709dda.jpg,3,many brides line up on the street .,34
300765528_8c8f709dda.jpg,2,Line of women in white dresses holding red flowers,34
300765528_8c8f709dda.jpg,0,A group of brides in white gowns hold red flowers on the side of a street .,34
3270047169_2ed289a9af.jpg,4,The boy is performing a trick on a red rail with a skateboard .,35
3270047169_2ed289a9af.jpg,0,A boy on a skateboard rides down a red pole .,35
3270047169_2ed289a9af.jpg,3,a skateboarder grinds a rail .,35
3270047169_2ed289a9af.jpg,1,A male youth is grinding a rail on his skateboard .,35
3270047169_2ed289a9af.jpg,2,A person skateboarding on a red rail .,35
2561481438_447b852e4d.jpg,0,A black dog soaked in liquid jumping to the grass .,36
2561481438_447b852e4d.jpg,4,A wet brown dog is jumping from some water onto the grass,36
2561481438_447b852e4d.jpg,3,A dog playing in water .,36
2561481438_447b852e4d.jpg,2,A dark dog jumps out of the water and onto the grass .,36
2561481438_447b852e4d.jpg,1,A brown and black dog jumping out of a pond .,36
3635991166_f95304af0a.jpg,0,Four boys are outside at a playground with a green and yellow ball .,37
3635991166_f95304af0a.jpg,3,Four young boys pose with a green soccer ball in a park .,37
3635991166_f95304af0a.jpg,1,Four boys kneeling next to each other with a ball in front of them .,37
3635991166_f95304af0a.jpg,2,four boys on a black top with a green and yellow basketball .,37
3635991166_f95304af0a.jpg,4,There are four smiling boys with smiles on a playground with their ball .,37
389643437_9a9830a3ba.jpg,4,Two girls with baseball caps are eating a snack outside .,38
389643437_9a9830a3ba.jpg,3,Two girls sitting in the grass wearing hats eat snacks .,38
389643437_9a9830a3ba.jpg,1,One young girl eats fruit while another eats chocolate .,38
389643437_9a9830a3ba.jpg,2,Two children taking in a snack .,38
389643437_9a9830a3ba.jpg,0,A girl in a white cap eats a slice of fruit next to a girl in a blue cap who is eating chocolate .,38
1072153132_53d2bb1b60.jpg,0,A black and white dog catches a toy in midair .,39
1072153132_53d2bb1b60.jpg,4,A multicolor dog jumping to catch a tennis ball in a grassy field .,39
1072153132_53d2bb1b60.jpg,3,A dog leaps while chasing a tennis ball through a grassy field .,39
1072153132_53d2bb1b60.jpg,2,"A dog is jumping to catch a object thrown at it ,",39
1072153132_53d2bb1b60.jpg,1,A dog and a tennis ball .,39
3549408779_4d453db080.jpg,2,A black and white dog swims in blue water .,40
3549408779_4d453db080.jpg,4,A small black and white dog paddles in some clear blue water .,40
3549408779_4d453db080.jpg,0,A black and white dog is swimming in some water,40
3549408779_4d453db080.jpg,1,A black and white dog swimming .,40
3549408779_4d453db080.jpg,3,A small black and white dog is swimming in water .,40
3629492654_619d7b67ee.jpg,2,A man on a skateboard jumping an orange cone .,41
3629492654_619d7b67ee.jpg,1,A boy does skateboard tricks at sundown .,41
3629492654_619d7b67ee.jpg,0,A backlit skateboarder ollies over a parking cone .,41
3629492654_619d7b67ee.jpg,3,A silhouette of a skateboarder in the air .,41
3629492654_619d7b67ee.jpg,4,A skateboarder in silhouette jumps over an orange traffic cone .,41
224702241_05af393148.jpg,3,Brown dog walks through river between snowbanks .,42
224702241_05af393148.jpg,0,A blond dog walks in a creek with banks filled with snow .,42
224702241_05af393148.jpg,1,A blonde dog makes his way up an icy stream with snow piled up on the sides .,42
224702241_05af393148.jpg,2,A tan dog walks down a stream between mounds of snow .,42
224702241_05af393148.jpg,4,The dog walks through the cold water .,42
3453544202_3855ab34b6.jpg,3,Number 97 races his motorcycle while wearing his black and red outfit .,43
3453544202_3855ab34b6.jpg,4,"Person on a red , white , and black racing motorcycle .",43
3453544202_3855ab34b6.jpg,1,A motorcyclist rides .,43
3453544202_3855ab34b6.jpg,2,A white motorcycle is being ridden around a racetrack .,43
3453544202_3855ab34b6.jpg,0,A man riding a motorcycle while wearing a black uniform .,43
2938875913_0ed920a6be.jpg,3,"Soccer player in red dives toward ball , blocking player in blue .",44
2938875913_0ed920a6be.jpg,4,Two soccer players coliding as one tries to get the ball in front of the other player .,44
2938875913_0ed920a6be.jpg,2,A soccer player hitting the ball with his head,44
2938875913_0ed920a6be.jpg,0,A man in a red uniform jumps towards a soccer ball .,44
2938875913_0ed920a6be.jpg,1,A soccer participant is trying to hit a ball while an opposing team member runs behind him .,44
2730938963_c4ed3e2258.jpg,4,Three young boys in blue swimming trunks hold hands and jump into an inground pool .,45
2730938963_c4ed3e2258.jpg,3,Three young boys hold hands as they jump into the blue pool .,45
2730938963_c4ed3e2258.jpg,0,Three boys leaping into a swimming pool .,45
2730938963_c4ed3e2258.jpg,1,Three happy boys wearing blue bathing suits hold hands as they jump into an outdoors swimming pool .,45
2730938963_c4ed3e2258.jpg,2,Three Little boys hold hands and jump into a pool together .,45
2561334141_0aacefa5e7.jpg,1,A man in jeans plays with a white and brown dog at the beach .,46
2561334141_0aacefa5e7.jpg,0,A man holds a ball in the air for a brown dog to catch on the beach .,46
2561334141_0aacefa5e7.jpg,3,"A man plays with his dog , making him jump for food .",46
2561334141_0aacefa5e7.jpg,2,A man playing with a ball toy with his brown dog .,46
2561334141_0aacefa5e7.jpg,4,a man with a stick and ball is playing with his dog at the beach,46
222878446_32c6fc4bc9.jpg,0,Two bald men on a park bench wearing small yellow traffic cones .,47
222878446_32c6fc4bc9.jpg,2,Two men wearing cone hats sit on a wooden bench .,47
222878446_32c6fc4bc9.jpg,1,Two dads take a break at the birthday party .,47
222878446_32c6fc4bc9.jpg,4,Two men with strange hats sit on a bench .,47
222878446_32c6fc4bc9.jpg,3,Two men wearing yellow caution cones as hats and one is about to get hit with a ball to the head .,47
241345639_1556a883b1.jpg,1,The two football players in white jerseys and purple pants tackle the player in the red jersey .,48
241345639_1556a883b1.jpg,4,Two football players try to tackle a player of the opposite team .,48
241345639_1556a883b1.jpg,2,Three football players are tackling a red uniformed football player during a football game .,48
241345639_1556a883b1.jpg,3,Three football players in purple uniforms try to tackle a player in a red uniform .,48
241345639_1556a883b1.jpg,0,There is a college player being tackled in a game .,48
69189650_6687da7280.jpg,1,A brown dog is running through the field .,49
69189650_6687da7280.jpg,2,A brown dog with a collar runs in the dead grass with his tongue hanging out to the side .,49
69189650_6687da7280.jpg,3,a brown dog with his tongue wagging as he runs through a field,49
69189650_6687da7280.jpg,4,A dog running in the grass .,49
69189650_6687da7280.jpg,0,A brown dog is running through a brown field .,49
3557316485_574a5f7a89.jpg,4,a skateboarder skates in the pool .,50
3557316485_574a5f7a89.jpg,0,A man skateboarding .,50
3557316485_574a5f7a89.jpg,1,A person is skateboarding in a skate hole,50
3557316485_574a5f7a89.jpg,3,A skateboarder riding up to a slope .,50
3557316485_574a5f7a89.jpg,2,A skateboarder approaches a ramp .,50
2717686269_80c4b5ac9e.jpg,4,Window shades cast light and shadow on a dog lying on a colorful carpet .,51
2717686269_80c4b5ac9e.jpg,3,A small brown and white dog lines on a red area rug in a patch of sunlight .,51
2717686269_80c4b5ac9e.jpg,1,"A brown dog resting on a red , white , and blue afghan rug .",51
2717686269_80c4b5ac9e.jpg,2,A German short-haired pointer rests on a rug by a sunny window .,51
2717686269_80c4b5ac9e.jpg,0,A brown and white dog relaxes on a carpet in sunlight .,51
2021613437_d99731f986.jpg,1,A boy dribbling a basketball in a gym .,52
2021613437_d99731f986.jpg,0,A boy dribbles a basketball in the gymnasium .,52
2021613437_d99731f986.jpg,3,A child in a gray t-shirt is bouncing a basketball on a basketball court .,52
2021613437_d99731f986.jpg,2,A boy wearing a Steve Nash shirt dribbles a basketball on an indoor court .,52
2021613437_d99731f986.jpg,4,One little boy dribbles his basketball .,52
1859941832_7faf6e5fa9.jpg,4,The white dog has a grey Frisbee in its mouth .,53
1859941832_7faf6e5fa9.jpg,1,A pitbull jumps to catch a flying disc .,53
1859941832_7faf6e5fa9.jpg,0,A dog catches a Frisbee as it jumps on the grass .,53
1859941832_7faf6e5fa9.jpg,3,The dog jumps to catch the Frisbee .,53
1859941832_7faf6e5fa9.jpg,2,A white dog has jumped up in the air to catch a Frisbee .,53
2852982055_8112d0964f.jpg,3,Two children playing in public fountains,54
2852982055_8112d0964f.jpg,2,Two children and a woman are playing in a water fountain .,54
2852982055_8112d0964f.jpg,4,"Woman , with two children playing in outdoor fountain .",54
2852982055_8112d0964f.jpg,0,a woman is looking away from two small children playing in a fountain .,54
2852982055_8112d0964f.jpg,1,Two children and an adult are near the fountain .,54
1928319708_ccf1f4ee72.jpg,4,Man cycles through diry bike path wearing white helmet and gloves,55
1928319708_ccf1f4ee72.jpg,0,A man is cycling on the road .,55
1928319708_ccf1f4ee72.jpg,2,A man rides his bicycle on a wet road .,55
1928319708_ccf1f4ee72.jpg,3,A person biking on a road near a fence .,55
1928319708_ccf1f4ee72.jpg,1,A man rides a bicycle down a road with concrete barriers .,55
2787276494_82703f570a.jpg,4,Guy with ski jacket jumping off bridge into water,56
2787276494_82703f570a.jpg,3,Boy with life jacket jumping into water,56
2787276494_82703f570a.jpg,0,A little boy in green goggles and a white life jacket jumps into the water .,56
2787276494_82703f570a.jpg,1,A little boy in red shorts jumps into the water .,56
2787276494_82703f570a.jpg,2,A person jumps off of a ledge into a body of water .,56
3703107969_175da4b276.jpg,0,a boy performs a stunt on a BMX bike .,57
3703107969_175da4b276.jpg,2,a man doing tricks on a bmx bike,57
3703107969_175da4b276.jpg,1,A man does a bicycle trick on a concrete obstacle .,57
3703107969_175da4b276.jpg,3,An extreme bicyclist is performing a jump with his bicycle and rotating the bicycle while he is in the air .,57
3703107969_175da4b276.jpg,4,Person doing a trick bike move in a skatepark .,57
2744330402_824240184c.jpg,2,A large group of people and possessions packed into a small boat .,58
2744330402_824240184c.jpg,1,A brown boat is packed with goods and people .,58
2744330402_824240184c.jpg,0,A boat with people and their belongings is in the water .,58
2744330402_824240184c.jpg,4,People are riding in a boat with oars .,58
2744330402_824240184c.jpg,3,A lot of men and motorcycles float on a canoe .,58
3295452057_0c987f895f.jpg,4,"Two dogs play in a large fenced-in area , while two men watch from a distance .",59
3295452057_0c987f895f.jpg,1,A chow jumps on a huskey .,59
3295452057_0c987f895f.jpg,2,A smaller orange dog putting its head on a larger black and white dog,59
3295452057_0c987f895f.jpg,0,A brown dog is jumping up at a black and white dog .,59
3295452057_0c987f895f.jpg,3,Two dogs are playing around in the dirt .,59
2525716531_e6dedee421.jpg,0,A man in a safety suit training a police German Shephard .,60
2525716531_e6dedee421.jpg,1,A man trains a dog to attack .,60
2525716531_e6dedee421.jpg,4,A man with a quilted glove is bitten by a dog .,60
2525716531_e6dedee421.jpg,3,A man wearing pads on his limbs is being bitten by a dog .,60
2525716531_e6dedee421.jpg,2,A man wearing padded arm protection is being bitten by a German shepherd dog .,60
3631671718_d712821757.jpg,2,A little girl in a pink shirt takes a swing at a t-ball .,61
3631671718_d712821757.jpg,0,A girl plays T-ball .,61
3631671718_d712821757.jpg,4,A young girl in a pink shirt gets ready to swing bat at a tee ball game,61
3631671718_d712821757.jpg,1,A little girl about to hit a baseball off a tee,61
3631671718_d712821757.jpg,3,A little girl is swinging at a baseball .,61
1368383637_614646cc4a.jpg,1,People stand inside a windowed structure .,62
1368383637_614646cc4a.jpg,2,Three people and a black and white dog in bright industrial corridor .,62
1368383637_614646cc4a.jpg,3,Three people enjoying the view in a modern building .,62
1368383637_614646cc4a.jpg,0,People stand in corridor looking from balcony as another person walks dog,62
1368383637_614646cc4a.jpg,4,Two people look over a terrace wall .,62
3503624011_733d745d5a.jpg,4,The woman has her face painted with a red star and is drinking a beer .,63
3503624011_733d745d5a.jpg,0,a girl with a star painted on her face smiles .,63
3503624011_733d745d5a.jpg,1,A lady in a sequined hat with red face paint .,63
3503624011_733d745d5a.jpg,2,A woman wearing a red hat and face paint smiles at another woman .,63
3503624011_733d745d5a.jpg,3,A woman with a painted face smiling .,63
3032790880_d216197d55.jpg,4,two soccer players kick a soccer ball .,64
3032790880_d216197d55.jpg,3,Two soccer players are fighting over a soccer ball on a grassy field .,64
3032790880_d216197d55.jpg,0,A soccer player in a red and white uniform was chasing the soccer ball and was tripped by a player in a purple uniform .,64
3032790880_d216197d55.jpg,1,The guys are playing soccer .,64
3032790880_d216197d55.jpg,2,The soccer player in purple keeps the ball from the man in red .,64
3184112120_6ddcd98016.jpg,4,Three people are near a tree and the woman touches one of the men 's faces .,65
3184112120_6ddcd98016.jpg,0,A girl is touching a man 's ear in front of a tree while another man leans in .,65
3184112120_6ddcd98016.jpg,3,"Girl touches young man 's face as young man in pink shirt observes , leafy background .",65
3184112120_6ddcd98016.jpg,2,A young woman touching a young man 's cheek while a friend looks on,65
3184112120_6ddcd98016.jpg,1,"a girl touches the side of a young man 's head , while another young man watches .",65
2107837987_ffecfc367a.jpg,1,A child in a blue shirt is holding something in his hand on a lake shore .,66
2107837987_ffecfc367a.jpg,4,The little boy is at the side of the river throwing rocks .,66
2107837987_ffecfc367a.jpg,2,A little boy is ready to throw a stone into the water .,66
2107837987_ffecfc367a.jpg,3,A skips rocks near a bridge .,66
2107837987_ffecfc367a.jpg,0,A boy stands near water with a stone in his hand .,66
856985136_649c0a3881.jpg,2,A young woman tries to stick her foot in a fountain .,67
856985136_649c0a3881.jpg,1,A woman in capri jeans crouches on the edge of a fountain with her left foot kicked out to touch the falling water .,67
856985136_649c0a3881.jpg,4,Young blonde woman putting her foot into a water fountain,67
856985136_649c0a3881.jpg,3,Woman balancing on edge of fountain while sticking her toe in the water .,67
856985136_649c0a3881.jpg,0,A girl touches the fountain with her foot .,67
507758961_e63ca126cc.jpg,3,"A little girl with a bow in her hair , doing a push-up on the grass .",68
507758961_e63ca126cc.jpg,1,A girl wearing blue goggles on her head makes a face while laying on the grass .,68
507758961_e63ca126cc.jpg,4,Child lying in the grass and wearing blue swim goggles on its head .,68
507758961_e63ca126cc.jpg,0,A child in a white and orange outfit doing push ups .,68
507758961_e63ca126cc.jpg,2,A little girl makes a goofy face and does a half push up in the grass .,68
2847514745_9a35493023.jpg,4,Some students sit outside school buildings in the grass .,69
2847514745_9a35493023.jpg,3,People sitting in a circle outside a large building .,69
2847514745_9a35493023.jpg,2,It looks like a school with children sitting outside of it .,69
2847514745_9a35493023.jpg,0,A group of people sit near a large red brick building in the grass .,69
2847514745_9a35493023.jpg,1,A red building with people sitting outside on the lawn in front .,69
1659358133_95cd1027bd.jpg,4,The dog is standing outside on a tree stump .,70
1659358133_95cd1027bd.jpg,0,a brown dog sniffs a tree stump .,70
